2025-12-10 20:44:59 | WARNING  | p_main_gui | MyQThread:run:22 | main_gui_read_queue_data_thread thread 50120 has been started！  
2025-12-10 20:44:59 | INFO  | p_main_gui | CrashHandle:setup_logging:35 | CrashHandler initialized  
2025-12-10 20:45:35 | INFO  | p_main_gui | ProcessMonitor:monitored_target:311 | p_main_gui 开始执行任务  
2025-12-10 20:45:35 | INFO  | p_main_gui | ProcessMonitor:monitored_target:312 | p_main_gui, target_func 是: <function main at 0x00000191BC7B8900>  
2025-12-10 20:45:35 | INFO  | p_main_gui | ProcessMonitor:monitored_target:313 | p_main_gui, target_func 参数个数: 2  
2025-12-10 20:45:35 | INFO  | p_main_gui | ProcessMonitor:monitored_target:314 | p_main_gui, args 内容: (<multiprocessing.queues.Queue object at 0x00000191C5562E10>, <multiprocessing.queues.Queue object at 0x00000191C5227490>)  
2025-12-10 20:45:35 | INFO  | p_main_gui | ProcessMonitor:monitored_target:315 | p_main_gui, args 长度: 2  
2025-12-10 20:45:35 | INFO  | p_main_gui | main_gui:main:188 | ----------------------------------------main_gui_start----------------------------------------  
2025-12-10 20:45:35 | INFO  | p_main_gui | main_gui:main:189 | Service.main_gui | main_gui.py|30048|50284  
2025-12-10 20:45:35 | INFO  | p_main_gui | global_load:load_global_setting:23 | gui配置文件读取成功。  
2025-12-10 20:45:35 | INFO  | p_main_gui | global_load:load_global_setting:32 | 相机配置文件读取成功。  
2025-12-10 20:45:35 | INFO  | p_main_gui | global_load:load_global_setting:41 | 监控配置文件读取成功。  
2025-12-10 20:45:35 | INFO  | p_main_gui | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 20:45:35 | INFO  | p_main_gui | main_gui:start_qt_application:142 | start Qt  
2025-12-10 20:45:35 | WARNING  | p_main_gui | MyQThread:run:22 | main_gui_read_queue_data_thread thread 50608 has been started！  
2025-12-10 20:45:35 | INFO  | p_main_gui | CrashHandle:setup_logging:35 | CrashHandler initialized  
2025-12-10 20:45:36 | WARNING  | p_main_gui | MyQThread:run:22 | MainWindow_index_read_queue_data_thread thread 8812 has been started！  
2025-12-10 20:45:36 | WARNING  | p_main_gui | MyQThread:run:22 | tab_7_read_queue_data_thread thread 3800 has been started！  
2025-12-10 20:45:36 | WARNING  | p_main_gui | MyQThread:run:22 | time_thread thread 51164 has been started！  
2025-12-10 20:45:36 | INFO  | p_main_gui | main_gui:start_qt_application:168 | Appliacation start  
2025-12-10 20:45:41 | ERROR  | p_main_gui | main_gui:quit_qt_application:87 | ----------------------------------------quit Qt application----------------------------------------  
2025-12-10 20:45:43 | WARNING  | p_main_gui | CrashHandle:handle_signal:86 | Received signal: SIGINT  
2025-12-10 20:45:43 | CRITICAL  | p_main_gui | main_gui:on_crash:107 | Crash detected: Application received SIGINT...  
2025-12-10 20:53:09 | INFO  | p_main_gui | ProcessMonitor:monitored_target:311 | p_main_gui 开始执行任务  
2025-12-10 20:53:09 | INFO  | p_main_gui | ProcessMonitor:monitored_target:312 | p_main_gui, target_func 是: <function main at 0x000002013EFD8900>  
2025-12-10 20:53:09 | INFO  | p_main_gui | ProcessMonitor:monitored_target:313 | p_main_gui, target_func 参数个数: 2  
2025-12-10 20:53:09 | INFO  | p_main_gui | ProcessMonitor:monitored_target:314 | p_main_gui, args 内容: (<multiprocessing.queues.Queue object at 0x0000020147DC0510>, <multiprocessing.queues.Queue object at 0x0000020146428650>)  
2025-12-10 20:53:09 | INFO  | p_main_gui | ProcessMonitor:monitored_target:315 | p_main_gui, args 长度: 2  
2025-12-10 20:53:09 | INFO  | p_main_gui | main_gui:main:188 | ----------------------------------------main_gui_start----------------------------------------  
2025-12-10 20:53:09 | INFO  | p_main_gui | main_gui:main:189 | Service.main_gui | main_gui.py|54348|48956  
2025-12-10 20:53:09 | INFO  | p_main_gui | global_load:load_global_setting:23 | gui配置文件读取成功。  
2025-12-10 20:53:09 | INFO  | p_main_gui | global_load:load_global_setting:32 | 相机配置文件读取成功。  
2025-12-10 20:53:09 | INFO  | p_main_gui | global_load:load_global_setting:41 | 监控配置文件读取成功。  
2025-12-10 20:53:09 | INFO  | p_main_gui | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 20:53:09 | INFO  | p_main_gui | main_gui:start_qt_application:142 | start Qt  
2025-12-10 20:53:09 | WARNING  | p_main_gui | MyQThread:run:22 | main_gui_read_queue_data_thread thread 51512 has been started！  
2025-12-10 20:53:09 | INFO  | p_main_gui | CrashHandle:setup_logging:35 | CrashHandler initialized  
2025-12-10 20:53:12 | WARNING  | p_main_gui | MyQThread:run:22 | MainWindow_index_read_queue_data_thread thread 52140 has been started！  
2025-12-10 20:53:12 | WARNING  | p_main_gui | MyQThread:run:22 | tab_7_read_queue_data_thread thread 52132 has been started！  
2025-12-10 20:53:12 | WARNING  | p_main_gui | MyQThread:run:22 | time_thread thread 35628 has been started！  
2025-12-10 20:53:12 | INFO  | p_main_gui | main_gui:start_qt_application:168 | Appliacation start  
2025-12-10 20:53:16 | ERROR  | p_main_gui | main_gui:quit_qt_application:87 | ----------------------------------------quit Qt application----------------------------------------  
2025-12-10 20:56:38 | INFO  | p_main_gui | ProcessMonitor:monitored_target:311 | p_main_gui 开始执行任务  
2025-12-10 20:56:38 | INFO  | p_main_gui | ProcessMonitor:monitored_target:312 | p_main_gui, target_func 是: <function main at 0x0000026230828900>  
2025-12-10 20:56:38 | INFO  | p_main_gui | ProcessMonitor:monitored_target:313 | p_main_gui, target_func 参数个数: 2  
2025-12-10 20:56:38 | INFO  | p_main_gui | ProcessMonitor:monitored_target:314 | p_main_gui, args 内容: (<multiprocessing.queues.Queue object at 0x00000262395F2F50>, <multiprocessing.queues.Queue object at 0x0000026237B38290>)  
2025-12-10 20:56:38 | INFO  | p_main_gui | ProcessMonitor:monitored_target:315 | p_main_gui, args 长度: 2  
2025-12-10 20:56:38 | INFO  | p_main_gui | main_gui:main:188 | ----------------------------------------main_gui_start----------------------------------------  
2025-12-10 20:56:38 | INFO  | p_main_gui | main_gui:main:189 | Service.main_gui | main_gui.py|52008|53588  
2025-12-10 20:56:38 | INFO  | p_main_gui | global_load:load_global_setting:23 | gui配置文件读取成功。  
2025-12-10 20:56:38 | INFO  | p_main_gui | global_load:load_global_setting:32 | 相机配置文件读取成功。  
2025-12-10 20:56:38 | INFO  | p_main_gui | global_load:load_global_setting:41 | 监控配置文件读取成功。  
2025-12-10 20:56:38 | INFO  | p_main_gui | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 20:56:38 | INFO  | p_main_gui | main_gui:start_qt_application:142 | start Qt  
2025-12-10 20:56:38 | WARNING  | p_main_gui | MyQThread:run:22 | main_gui_read_queue_data_thread thread 54116 has been started！  
2025-12-10 20:56:38 | INFO  | p_main_gui | CrashHandle:setup_logging:35 | CrashHandler initialized  
2025-12-10 20:56:40 | WARNING  | p_main_gui | MyQThread:run:22 | MainWindow_index_read_queue_data_thread thread 32368 has been started！  
2025-12-10 20:56:40 | WARNING  | p_main_gui | MyQThread:run:22 | tab_7_read_queue_data_thread thread 53948 has been started！  
2025-12-10 20:56:40 | WARNING  | p_main_gui | MyQThread:run:22 | time_thread thread 50152 has been started！  
2025-12-10 20:56:40 | INFO  | p_main_gui | main_gui:start_qt_application:168 | Appliacation start  
2025-12-10 20:56:56 | ERROR  | p_main_gui | main_gui:quit_qt_application:87 | ----------------------------------------quit Qt application----------------------------------------  
2025-12-10 21:18:55 | INFO  | p_main_gui | ProcessMonitor:monitored_target:311 | p_main_gui 开始执行任务  
2025-12-10 21:18:55 | INFO  | p_main_gui | ProcessMonitor:monitored_target:312 | p_main_gui, target_func 是: <function main at 0x000001C05C844680>  
2025-12-10 21:18:55 | INFO  | p_main_gui | ProcessMonitor:monitored_target:313 | p_main_gui, target_func 参数个数: 2  
2025-12-10 21:18:55 | INFO  | p_main_gui | ProcessMonitor:monitored_target:314 | p_main_gui, args 内容: (<multiprocessing.queues.Queue object at 0x000001C05C843A10>, <multiprocessing.queues.Queue object at 0x000001C05C87DA90>)  
2025-12-10 21:18:55 | INFO  | p_main_gui | ProcessMonitor:monitored_target:315 | p_main_gui, args 长度: 2  
2025-12-10 21:18:55 | INFO  | p_main_gui | main_gui:main:167 | ----------------------------------------main_gui_start----------------------------------------  
2025-12-10 21:18:55 | INFO  | p_main_gui | main_gui:main:168 | Service.main_gui | main_gui.py|32456|41856  
2025-12-10 21:18:55 | INFO  | p_main_gui | global_load:load_global_setting:23 | gui配置文件读取成功。  
2025-12-10 21:18:55 | INFO  | p_main_gui | global_load:load_global_setting:32 | 相机配置文件读取成功。  
2025-12-10 21:18:55 | INFO  | p_main_gui | global_load:load_global_setting:41 | 监控配置文件读取成功。  
2025-12-10 21:18:55 | INFO  | p_main_gui | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light  
2025-12-10 21:18:55 | INFO  | p_main_gui | main_gui:start_qt_application:121 | start Qt  
2025-12-10 21:18:55 | WARNING  | p_main_gui | MyQThread:run:22 | main_gui_read_queue_data_thread thread 50552 has been started！  
2025-12-10 21:18:56 | INFO  | p_main_gui | CrashHandle:setup_logging:35 | CrashHandler initialized  
2025-12-10 21:18:57 | WARNING  | p_main_gui | MyQThread:run:22 | MainWindow_index_read_queue_data_thread thread 31680 has been started！  
2025-12-10 21:18:57 | WARNING  | p_main_gui | MyQThread:run:22 | tab_7_read_queue_data_thread thread 42500 has been started！  
2025-12-10 21:18:57 | WARNING  | p_main_gui | MyQThread:run:22 | time_thread thread 48020 has been started！  
2025-12-10 21:18:57 | INFO  | p_main_gui | main_gui:start_qt_application:147 | Appliacation start  
2025-12-10 21:19:02 | ERROR  | p_main_gui | main_gui:quit_qt_application:66 | ----------------------------------------quit Qt application----------------------------------------  
