2025-12-10 20:53:09 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:311 | p_deep_camera 开始执行任务 
2025-12-10 20:53:09 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:312 | p_deep_camera, target_func 是: <function main at 0x0000020347567600> 
2025-12-10 20:53:09 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:313 | p_deep_camera, target_func 参数个数: 1 
2025-12-10 20:53:09 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:314 | p_deep_camera, args 内容: (<multiprocessing.queues.Queue object at 0x0000020347583150>,) 
2025-12-10 20:53:09 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:315 | p_deep_camera, args 长度: 1 
2025-12-10 20:53:09 | INFO  | p_deep_camera | main_deep_camera:main:1058 | ------------------------------deep_camera_start------------------------------ 
2025-12-10 20:53:09 | INFO  | p_deep_camera | main_deep_camera:main:1059 | Service.main_deep_camera | main_deep_camera.py|46076|48956 
2025-12-10 20:53:09 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:69 | gui配置文件读取成功。 
2025-12-10 20:53:09 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:78 | 相机配置文件读取成功。 
2025-12-10 20:53:09 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:87 | 监控配置文件读取成功。 
2025-12-10 20:53:09 | INFO  | p_deep_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light 
2025-12-10 20:53:09 | INFO  | p_deep_camera | main_deep_camera:load_global_setting:923 | 相机连接开始时间：2025-12-10 20:53:09.310 
2025-12-10 20:53:09 | WARNING  | p_deep_camera | MyQThread:run:22 | main_deep_camera_read_queue_data_thread thread 6684 has been started！ 
2025-12-10 20:56:38 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:311 | p_deep_camera 开始执行任务 
2025-12-10 20:56:38 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:312 | p_deep_camera, target_func 是: <function main at 0x0000023136EC7600> 
2025-12-10 20:56:38 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:313 | p_deep_camera, target_func 参数个数: 1 
2025-12-10 20:56:38 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:314 | p_deep_camera, args 内容: (<multiprocessing.queues.Queue object at 0x0000023136EE2E10>,) 
2025-12-10 20:56:38 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:315 | p_deep_camera, args 长度: 1 
2025-12-10 20:56:38 | INFO  | p_deep_camera | main_deep_camera:main:1058 | ------------------------------deep_camera_start------------------------------ 
2025-12-10 20:56:38 | INFO  | p_deep_camera | main_deep_camera:main:1059 | Service.main_deep_camera | main_deep_camera.py|51208|53588 
2025-12-10 20:56:38 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:69 | gui配置文件读取成功。 
2025-12-10 20:56:38 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:78 | 相机配置文件读取成功。 
2025-12-10 20:56:38 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:87 | 监控配置文件读取成功。 
2025-12-10 20:56:38 | INFO  | p_deep_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light 
2025-12-10 20:56:38 | INFO  | p_deep_camera | main_deep_camera:load_global_setting:923 | 相机连接开始时间：2025-12-10 20:56:38.230 
2025-12-10 20:56:38 | WARNING  | p_deep_camera | MyQThread:run:22 | main_deep_camera_read_queue_data_thread thread 51740 has been started！ 
